Entity,Code,Year,HDI
Afghanistan,AFG,2015,0.493
Albania,ALB,2015,0.776
Algeria,DZA,2015,0.749
Andorra,AND,2015,0.854
Angola,AGO,2015,0.572
Antigua and Barbuda,ATG,2015,0.775
Argentina,ARG,2015,0.822
Armenia,ARM,2015,0.748
Australia,AUS,2015,0.936
Austria,AUT,2015,0.903
Azerbaijan,AZE,2015,0.758
Bahamas,BHS,2015,0.807
Bahrain,BHR,2015,0.832
Bangladesh,BGD,2015,0.592
Barbados,BRB,2015,0.797
Belarus,BLR,2015,0.805
Belgium,BEL,2015,0.913
Belize,BLZ,2015,0.709
Benin,BEN,2015,0.508
Bhutan,BTN,2015,0.603
Bolivia,BOL,2015,0.681
Bosnia and Herzegovina,BIH,2015,0.755
Botswana,BWA,2015,0.706
Brazil,BRA,2015,0.757
Brunei,BRN,2015,0.852
Bulgaria,BGR,2015,0.807
Burkina Faso,BFA,2015,0.412
Burundi,BDI,2015,0.418
Cambodia,KHM,2015,0.571
Cameroon,CMR,2015,0.548
Canada,CAN,2015,0.92
Cape Verde,CPV,2015,0.647
Central African Republic,CAF,2015,0.357
Chad,TCD,2015,0.407
Chile,CHL,2015,0.84
China,CHN,2015,0.743
Colombia,COL,2015,0.742
Comoros,COM,2015,0.502
Congo,COG,2015,0.613
Costa Rica,CRI,2015,0.788
Cote d'Ivoire,CIV,2015,0.478
Croatia,HRV,2015,0.827
Cuba,CUB,2015,0.772
Cyprus,CYP,2015,0.86
Czechia,CZE,2015,0.882
Democratic Republic of Congo,COD,2015,0.444
Denmark,DNK,2015,0.926
Djibouti,DJI,2015,0.47
Dominica,DMA,2015,0.721
Dominican Republic,DOM,2015,0.729
Ecuador,ECU,2015,0.743
Egypt,EGY,2015,0.691
El Salvador,SLV,2015,0.674
Equatorial Guinea,GNQ,2015,0.593
Eritrea,ERI,2015,0.433
Estonia,EST,2015,0.866
Eswatini,SWZ,2015,0.584
Ethiopia,ETH,2015,0.451
Fiji,FJI,2015,0.738
Finland,FIN,2015,0.915
France,FRA,2015,0.898
Gabon,GAB,2015,0.694
Gambia,GMB,2015,0.457
Georgia,GEO,2015,0.771
Germany,DEU,2015,0.933
Ghana,GHA,2015,0.585
Greece,GRC,2015,0.866
Grenada,GRD,2015,0.767
Guatemala,GTM,2015,0.645
Guinea,GIN,2015,0.443
Guinea-Bissau,GNB,2015,0.449
Guyana,GUY,2015,0.651
Haiti,HTI,2015,0.493
