Entity,D1,POPULATION,D2,INTERNET,D3
Afghanistan,"4,068,194","35,530,081",94,0.1145,194
Albania,"2,105,339","2,930,187",117,0.7185,73
Algeria,"19,704,622","41,318,142",36,0.4769,130
Andorra,"76,095","76,965",179,0.9887,1
Angola,"4,271,053","29,784,193",92,0.1434,186
Anguilla,"12,043","14,909",207,0.8157,44
Antigua and Barbuda,"77,529","102,012",178,0.7600,65
Argentina,"33,561,876","44,271,041",23,0.7581,67
Armenia,"2,043,110","2,930,450",118,0.6972,78
Aruba,"102,285","105,264",176,0.9717,8
Ascension,361,806,215,0.4103,-
Australia,"21,159,515","24,450,561",34,0.8654,31
Austria,"7,681,957","8,735,453",60,0.8794,27
Azerbaijan,"7,763,795","9,827,589",59,0.7900,54
Bahrain,"1,431,090","1,492,584",128,0.9588,14
Bangladesh,"30,530,435","164,669,751",27,0.1802,180
Barbados,"233,604","285,719",170,0.8176,41
Belarus,"7,048,231","9,468,338",65,0.7444,69
Belgium,"10,021,242","11,429,336",50,0.8768,28
Belize,"176,400","374,681",174,0.4708,131
Benin,"1,578,008","11,175,692",126,0.1412,187
Bermuda,"60,349","61,349",190,0.9837,2
Bhutan,"388,541","807,610",158,0.4811,129
Bolivia,"4,843,916","11,051,600",82,0.4383,134
Bosnia and Herzegovina,"2,437,026","3,507,017",109,0.6949,80
Botswana,"948,977","2,291,661",141,0.4141,135
Brazil,"141,206,801","209,288,278",4,0.6747,83
British Virgin Islands,"14,456","31,196",206,0.3760,141
Brunei,"406,705","428,697",157,0.9487,16
Bulgaria,"4,492,326","7,084,571",88,0.6341,94
Burkina Faso,"3,047,909","19,193,382",101,0.1588,183
Burundi,"607,311","10,864,245",148,0.0559,205
Cabo Verde,"312,315","546,388",165,0.5716,108
Cambodia,"5,441,827","16,005,373",80,0.3400,148
Cameroon,"5,580,465","24,053,727",78,0.2320,170
Canada,"33,950,632","36,624,199",22,0.9270,22
Cayman Islands,"49,906","61,559",193,0.8107,46
Central African Republic,"202,204","4,659,080",173,0.0434,206
Chad,"968,500","14,899,994",138,0.0650,204
Chile,"14,864,456","18,054,726",43,0.8233,38
China,"765,367,947","1,409,517,397",1,0.5430,116
Colombia,"30,548,252","49,065,615",26,0.6226,96
Comoros,"69,020","813,912",184,0.0848,201
Costa Rica,"3,511,549","4,905,769",98,0.7158,74
Croatia,"2,811,056","4,189,353",103,0.6710,84
Cuba,"5,638,956","11,484,636",77,0.4910,125
Cyprus,"952,369","1,179,551",140,0.8074,47
Czech Republic,"8,358,728","10,618,303",56,0.7872,56
Democratic Republic of the Congo,"7,011,507","81,339,988",66,0.0862,200
Denmark,"5,567,278","5,733,551",79,0.9710,9
Djibouti,"532,849","956,985",150,0.5568,112
Dominica,"51,467","73,925",192,0.6962,79
Dominican Republic,"6,997,472","10,766,998",67,0.6499,88
Ecuador,"9,521,056","16,624,858",52,0.5727,107
Egypt,"43,850,141","97,553,151",18,0.4495,132
El Salvador,"1,993,079","6,377,853",119,0.3125,152
Equatorial Guinea,"332,642","1,267,689",163,0.2624,165
Eritrea,"66,402","5,068,831",186,0.0131,209
Estonia,"1,153,786","1,309,632",133,0.8810,26
Ethiopia,"19,543,075","104,957,438",37,0.1862,179
Falkland Islands,"2,881","2,910",211,0.9902,-
Faroe Islands,"48,097","49,290",194,0.9758,7
Fiji,"452,479","905,502",153,0.4997,121
Finland,"4,831,170","5,523,231",83,0.8747,29
France,"52,308,536","64,979,548",13,0.8050,50
French Polynesia,"205,746","283,007",172,0.7270,72
Gabon,"1,019,049","2,025,137",135,0.5032,120
Georgia,"2,366,406","3,912,061",111,0.6049,100
