Entity,Christians,Muslims,Unaffiliated,Hindus,Buddhists,folkReligions,otherReligions,Jews,Population,Temperature,GII,HDI,POL,INTERNET,PRECIPITATION
Burkina Faso,0.19820473523400098,0.5422582379043424,0.0037397119855471887,0.00026712228468194204,0.00026712228468194204,0.13516387604906266,0.00026712228468194204,0.00026712228468194204,18718019,28.29,0.61500001,0.412,0.25,0.1588,748.0
Mali,0.02042742227959322,0.8010862088564801,0.00386464745830142,0.00027604624702153003,0.00027604624702153003,0.02263579225576546,0.00027604624702153003,0.00027604624702153003,18112907,28.25,0.68900001,0.418,0.5,0.1272,282.0
Maldives,0.011478894903829818,0.7116914840374488,0.011478894903829818,0.011478894903829818,0.011478894903829818,0.011478894903829818,0.011478894903829818,0.011478894903829818,435582,28.0,0.31200001,0.71,0.25,0.6319,1972.0
Senegal,0.03134538356684135,0.834483766957243,0.00034828203963157054,0.00034828203963157054,0.00034828203963157054,0.00034828203963157054,0.00034828203963157054,0.00034828203963157054,14356181,27.85,0.52100003,0.492,0.5,0.2964,686.0
Mauritania,0.0012670352894668822,0.8691862085742812,0.0012670352894668822,0.0012670352894668822,0.0012670352894668822,0.005068141157867529,0.0012670352894668822,0.0012670352894668822,3946220,27.65,0.62699997,0.514,0.25,0.208,92.0
Benin,0.42898500775145726,0.1929975194788006,0.041160608419649414,0.00045734009355166016,0.00045734009355166016,0.14634882993653126,0.00045734009355166016,0.00045734009355166016,10932783,27.55,0.61299998,0.508,0.5,0.1412,1039.0
Ghana,0.632469903386239,0.1336984571232685,0.03532964411029375,0.00017318452995242033,0.00017318452995242033,0.04156428718858088,0.0013854762396193626,0.00017318452995242033,28870939,27.2,0.54699999,0.585,0.5,0.3788,1187.0
Kuwait,0.09977632195311895,0.5193485476021319,0.0012791836147835762,0.05884244628004451,0.02046693783653722,0.0012791836147835762,0.0012791836147835762,0.0012791836147835762,3908743,27.15,0.33500001,0.802,0.25,0.98,121.0
Niger,0.005961807468992142,0.7586400004292502,0.005464990179909464,0.0002484086445413393,0.0002484086445413393,0.0002484086445413393,0.0002484086445413393,0.0002484086445413393,20128124,27.15,0.69499999,0.347,0.5,0.1022,151.0
Qatar,0.09939645643349776,0.49284076314942643,0.008283038036124814,0.09939645643349776,0.020707595090312034,0.0020707595090312036,0.004141519018062407,0.0020707595090312036,2414573,27.15,0.542,0.854,0.0,0.9594,74.0
Togo,0.35326095319707185,0.11240121238088649,0.0495100578344381,0.0006690548356005149,0.0006690548356005149,0.28769357930822137,0.004014329013603089,0.0006690548356005149,7473229,27.15,0.55599999,0.495,0.25,0.1236,1168.0
Sri Lanka,0.07170744375289202,0.09560992500385604,0.00023433805148003928,0.13263533713770223,0.6772369687773135,0.00023433805148003928,0.00023433805148003928,0.00023433805148003928,21336697,26.95,0.38600001,0.766,0.5,0.3411,1712.0
Sudan,0.047417975939857034,0.7987702134841109,0.009169221866823183,0.00013098888381175974,0.00013098888381175974,0.024887887924234353,0.00013098888381175974,0.00013098888381175974,38171178,26.9,0.57499999,0.497,0.25,0.3087,250.0
Cambodia,0.003243063104235356,0.018161153383717994,0.0019458378625412138,0.0003243063104235356,0.8879506779396406,0.00518890096677657,0.0003243063104235356,0.0003243063104235356,15417523,26.8,0.479,0.571,0.25,0.34,1904.0
